Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date,_deal_key,_qa_missing_value,_qa_missing_sector
Sanji,OWNER_002,COMPANY124,Open,,Medium,12019562.448,2026-01-30,E. Proposal/Commercials Sent,,Tender,2025-11-20,Sanji | COMPANY124,False,False
Rukia,OWNER_001,COMPANY087,Open,,High,3058500.0,2026-04-01,C. Demo Done,Service + Spectra,Renewables,2025-11-26,Rukia | COMPANY087,False,False
Rukia,OWNER_001,COMPANY095,Open,,High,1835100.0,2026-02-10,C. Demo Done,Service + Spectra,Renewables,2025-11-26,Rukia | COMPANY095,False,False
Light Yagami,OWNER_003,COMPANY007,Open,,Medium,6117000.0,2026-03-31,E. Proposal/Commercials Sent,Spectra Deal,Mining,2025-12-01,Light Yagami | COMPANY007,False,False
Light Yagami,OWNER_003,COMPANY067,Open,,Medium,7340400.0,2026-02-28,F. Negotiations,Pure Service,Railways,2025-12-08,Light Yagami | COMPANY067,False,False
Eren Yeager,OWNER_003,COMPANY068,Open,,Medium,5872320.0,2026-01-31,F. Negotiations,Pure Service,Railways,2025-12-08,Eren Yeager | COMPANY068,False,False
Mikasa,OWNER_001,COMPANY050,Open,,Low,611696.3298000001,2025-12-15,F. Negotiations,Pure Service,Renewables,2025-12-08,Mikasa | COMPANY050,False,False
Levi,OWNER_003,COMPANY051,Open,,High,841699.2000000001,2026-01-15,F. Negotiations,Pure Service,Railways,2025-12-08,Levi | COMPANY051,False,False
Tanjiro,OWNER_003,COMPANY161,Open,,High,489360.0,2026-01-31,F. Negotiations,Pure Service,Railways,2026-01-08,Tanjiro | COMPANY161,False,False
Tanjiro,OWNER_003,COMPANY186,Open,,High,489360.0,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Mining,2026-01-08,Tanjiro | COMPANY186,False,False
Tanjiro,OWNER_001,COMPANY038,,,,,,A. Lead Generated,,,2026-01-08,Tanjiro | COMPANY038,True,True
Tanjiro,OWNER_001,COMPANY039,Open,,High,2079780.0,2026-01-13,A. Lead Generated,,,2026-01-08,Tanjiro | COMPANY039,False,True
Tanjiro,OWNER_001,COMPANY136,Open,,High,1468080.0,2026-01-31,A. Lead Generated,,,2026-01-08,Tanjiro | COMPANY136,False,True
Zenitsu,OWNER_003,COMPANY190,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Others,2024-09-12,Zenitsu | COMPANY190,True,False
Inosuke,OWNER_003,COMPANY186,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Others,2024-09-12,Inosuke | COMPANY186,True,False
Gojo,OWNER_005,COMPANY101,Dead,,,13457400.0,2025-06-30,E. Proposal/Commercials Sent,,Railways,2025-06-01,Gojo | COMPANY101,False,False
Yuji Itadori,,COMPANY172,Dead,,,,2025-06-19,L. Project Lost,,Mining,2024-08-09,Yuji Itadori | COMPANY172,True,False
Yuji Itadori,,COMPANY172,Dead,,,,2025-06-19,L. Project Lost,,Mining,2024-08-16,Yuji Itadori | COMPANY172,True,False
Yuji Itadori,OWNER_006,COMPANY118,Dead,,,,2025-05-31,L. Project Lost,,Construction,2025-04-25,Yuji Itadori | COMPANY118,True,False
Yuji Itadori,OWNER_002,COMPANY148,Dead,,,34866900.0,2025-05-31,O. Not Relevant at all,,Powerline,2025-04-25,Yuji Itadori | COMPANY148,False,False
Megumi,OWNER_002,COMPANY070,Dead,,,97872.0,2025-05-31,N. Not relevant at the moment,,Powerline,2025-04-25,Megumi | COMPANY070,False,False
Nobara,OWNER_006,COMPANY146,Dead,,,,2025-06-23,L. Project Lost,,Renewables,2025-04-30,Nobara | COMPANY146,True,False
Saitama,OWNER_006,COMPANY014,Dead,,,,2025-05-31,C. Demo Done,,Powerline,2025-04-30,Saitama | COMPANY014,True,False
Genos,OWNER_002,COMPANY168,Dead,,,53217.9,2025-06-30,N. Not relevant at the moment,,Powerline,2025-05-05,Genos | COMPANY168,False,False
Finn the Human,,COMPANY186,Dead,,,,2024-11-25,J. Invoice sent,,Mining,2024-08-16,Finn the Human | COMPANY186,True,False
Edward Elric,OWNER_002,COMPANY179,Dead,,,,2025-06-23,L. Project Lost,,Powerline,2025-05-05,Edward Elric | COMPANY179,True,False
Alphonse,OWNER_007,COMPANY078,Dead,,,,2024-09-30,C. Demo Done,,Railways,2024-08-16,Alphonse | COMPANY078,True,False
Alphonse,OWNER_003,COMPANY058,Dead,,,244680.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19,Alphonse | COMPANY058,False,False
Alphonse,OWNER_003,COMPANY143,Dead,,,611700.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19,Alphonse | COMPANY143,False,False
Alphonse,OWNER_003,COMPANY071,Dead,,,489360.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19,Alphonse | COMPANY071,False,False
Alphonse,OWNER_003,COMPANY063,Dead,,,256914000.0,2025-05-13,M. Projects On Hold,Pure Service,Mining,2024-08-19,Alphonse | COMPANY063,False,False
Alphonse,OWNER_003,COMPANY045,Dead,,,6117000.0,2025-05-13,M. Projects On Hold,Pure Service,Others,2024-08-21,Alphonse | COMPANY045,False,False
Alphonse,OWNER_003,COMPANY120,Dead,,,,2025-05-13,M. Projects On Hold,Pure Service,Mining,2024-08-19,Alphonse | COMPANY120,True,False
Alphonse,OWNER_003,COMPANY074,Dead,,,,2025-05-13,M. Projects On Hold,Pure Service,Others,2024-08-22,Alphonse | COMPANY074,True,False
Alphonse,OWNER_006,COMPANY005,Dead,,,,2024-09-30,C. Demo Done,,Construction,2024-08-22,Alphonse | COMPANY005,True,False
Alphonse,OWNER_003,COMPANY115,Dead,,,,2024-09-30,N. Not relevant at the moment,Pure Service,Renewables,2024-08-27,Alphonse | COMPANY115,True,False
Alphonse,OWNER_003,COMPANY080,Dead,,,,2024-09-30,N. Not relevant at the moment,Pure Service,Others,2024-08-30,Alphonse | COMPANY080,True,False
Alphonse,OWNER_003,COMPANY057,Dead,,,807444.0,2024-11-13,O. Not Relevant at all,Pure Service,Renewables,2024-09-12,Alphonse | COMPANY057,False,False
Alphonse,OWNER_003,COMPANY148,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Renewables,2024-09-16,Alphonse | COMPANY148,True,False
Alphonse,OWNER_006,COMPANY078,Dead,,,,2024-11-18,L. Project Lost,,Railways,2024-09-20,Alphonse | COMPANY078,True,False
Alphonse,OWNER_006,COMPANY112,Dead,,,,2024-10-31,N. Not relevant at the moment,,Others,2024-09-20,Alphonse | COMPANY112,True,False
Alphonse,OWNER_003,COMPANY071,Dead,,,489360.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-09-20,Alphonse | COMPANY071,False,False
Alphonse,OWNER_003,COMPANY133,Dead,,,,2025-05-13,M. Projects On Hold,Pure Service,Renewables,2024-09-20,Alphonse | COMPANY133,True,False
Alphonse,OWNER_003,COMPANY194,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Construction,2024-09-20,Alphonse | COMPANY194,True,False
Alphonse,OWNER_006,COMPANY142,Dead,,,,2024-11-08,L. Project Lost,,Others,2024-10-07,Alphonse | COMPANY142,True,False
Spike Spiegel,OWNER_006,COMPANY169,Dead,,,,2025-06-23,L. Project Lost,,Powerline,2024-10-07,Spike Spiegel | COMPANY169,True,False
Faye Valentine,,COMPANY186,Dead,,,,2024-11-30,C. Demo Done,,Mining,2024-10-08,Faye Valentine | COMPANY186,True,False
Kenshin,,COMPANY186,Dead,,,,2024-11-16,J. Invoice sent,,Mining,2024-11-01,Kenshin | COMPANY186,True,False
Rei,,COMPANY172,Dead,,,,2024-12-31,E. Proposal/Commercials Sent,,Others,2024-11-02,Rei | COMPANY172,True,False
Jake the Dog,,COMPANY017,Dead,,,,2024-12-31,E. Proposal/Commercials Sent,,Renewables,2024-11-05,Jake the Dog | COMPANY017,True,False
Piccolo,OWNER_001,COMPANY085,Dead,,,,2025-06-23,M. Projects On Hold,,Mining,2024-11-17,Piccolo | COMPANY085,True,False
Totoro,OWNER_003,COMPANY121,Dead,,,17739300.0,2025-05-13,L. Project Lost,Pure Service,Mining,2024-11-17,Totoro | COMPANY121,False,False
Chihiro,OWNER_003,COMPANY116,Dead,,,1223400.0,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-17,Chihiro | COMPANY116,False,False
Howl,OWNER_003,COMPANY025,Dead,,,244680.0,2025-01-14,L. Project Lost,Pure Service,Others,2024-11-17,Howl | COMPANY025,False,False
Kiki,OWNER_003,COMPANY133,Dead,,,244680.0,2025-05-13,M. Projects On Hold,Pure Service,Renewables,2024-11-17,Kiki | COMPANY133,False,False
Monkey D. Dragon,OWNER_001,COMPANY120,Dead,,,,2025-01-17,L. Project Lost,,Renewables,2024-11-17,Monkey D. Dragon | COMPANY120,True,False
Shanks,OWNER_003,COMPANY175,Dead,,,305850.0,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-17,Shanks | COMPANY175,False,False
Shanks,OWNER_003,COMPANY058,Dead,,,305850.0,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-11-17,Shanks | COMPANY058,False,False
Pain,OWNER_006,COMPANY020,Dead,,,,2024-12-27,L. Project Lost,,Others,2024-11-17,Pain | COMPANY020,True,False
Ace,OWNER_006,COMPANY122,Dead,,,,2024-12-13,L. Project Lost,,Renewables,2024-11-18,Ace | COMPANY122,True,False
Gaara,OWNER_006,COMPANY122,Dead,,,,2025-06-22,L. Project Lost,,Renewables,2024-11-18,Gaara | COMPANY122,True,False
Itachi,OWNER_003,COMPANY157,Dead,,,21409500.0,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-19,Itachi | COMPANY157,False,False
Itachi,,COMPANY016,Dead,,,,2024-12-31,B. Sales Qualified Leads,,Renewables,2024-11-21,Itachi | COMPANY016,True,False
Itachi,,COMPANY172,Dead,,,,2025-01-31,B. Sales Qualified Leads,,Mining,2024-12-04,Itachi | COMPANY172,True,False
Itachi,,COMPANY018,Dead,,,,2024-12-20,J. Invoice sent,,Others,2024-12-12,Itachi | COMPANY018,True,False
Kaguya,OWNER_006,COMPANY150,Dead,,,,2025-01-31,L. Project Lost,,Renewables,2024-12-27,Kaguya | COMPANY150,True,False
Kaguya,OWNER_006,COMPANY128,Dead,,,,2025-01-23,J. Invoice sent,,Mining,2025-01-03,Kaguya | COMPANY128,True,False
Bulma,OWNER_003,COMPANY072,Dead,,,4037220.0,2025-07-04,L. Project Lost,Pure Service,Mining,2025-01-14,Bulma | COMPANY072,False,False
Trunks,OWNER_003,COMPANY038,Dead,,,489360.0,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16,Trunks | COMPANY038,False,False
Trunks,OWNER_003,COMPANY038,Dead,,,367020.0,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16,Trunks | COMPANY038,False,False
Killua,OWNER_003,COMPANY038,Dead,,,367020.0,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16,Killua | COMPANY038,False,False
Gon,OWNER_003,COMPANY038,Dead,,,397605.0,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16,Gon | COMPANY038,False,False
Kurapika,OWNER_001,COMPANY182,Dead,,,,2025-02-28,J. Invoice sent,,Mining,2025-01-17,Kurapika | COMPANY182,True,False
Hisoka,OWNER_003,COMPANY185,Dead,,,,2025-02-28,N. Not relevant at the moment,Pure Service,Others,2025-01-21,Hisoka | COMPANY185,True,False
Sailor Moon,OWNER_003,COMPANY196,Dead,,,,2025-03-27,L. Project Lost,Pure Service,Mining,2025-01-29,Sailor Moon | COMPANY196,True,False
Sailor Moon,OWNER_006,COMPANY162,Dead,,,,2025-02-24,L. Project Lost,,Others,2025-02-19,Sailor Moon | COMPANY162,True,False
Sailor Moon,OWNER_006,COMPANY160,Dead,,,,,N. Not relevant at the moment,,Mining,2025-03-11,Sailor Moon | COMPANY160,True,False
Sailor Moon,OWNER_006,COMPANY146,Dead,,,,2025-06-22,M. Projects On Hold,,Renewables,2025-03-27,Sailor Moon | COMPANY146,True,False
Inuyasha,OWNER_002,COMPANY125,Dead,,,2849787.96,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13,Inuyasha | COMPANY125,False,False
Sesshomaru,OWNER_002,COMPANY125,Dead,,,3988803.9450000003,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13,Sesshomaru | COMPANY125,False,False
Sesshomaru,OWNER_002,COMPANY125,Dead,,,3383159.775,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13,Sesshomaru | COMPANY125,False,False
Sesshomaru,OWNER_003,COMPANY154,Dead,,,3058500.0,2025-07-04,I. POC,Pure Service,Mining,2025-05-13,Sesshomaru | COMPANY154,False,False
Kirito,OWNER_003,COMPANY186,Dead,,,,2025-09-15,M. Projects On Hold,Pure Service,Mining,2025-05-14,Kirito | COMPANY186,True,False
Asuna,OWNER_003,COMPANY005,Dead,,,,2025-07-04,L. Project Lost,Pure Service,Construction,2025-05-14,Asuna | COMPANY005,True,False
Rem,OWNER_003,COMPANY199,Dead,,,,2025-09-15,M. Projects On Hold,Pure Service,Renewables,2025-05-14,Rem | COMPANY199,True,False
Emilia,OWNER_003,COMPANY071,Dead,,,550530.0,2025-07-04,M. Projects On Hold,Pure Service,Renewables,2025-05-14,Emilia | COMPANY071,False,False
Subaru,OWNER_003,COMPANY027,Dead,,,,2025-06-30,O. Not Relevant at all,Pure Service,Railways,2025-05-14,Subaru | COMPANY027,True,False
